Date,Event Type,Title,Course,Status,Duration/Weight,Start Time
Apr 20,App Item,Module 08 SQL Lab - ProblemSet10,Database Management Systems,Due at 8:59 PM PDT,1.31% Weight,N/A
Apr 21,Live Event,TA Office Hours for CPSC 6620,Database Management Systems,N/A,1h,9:00 AM PDT
Apr 21,Graded Assignment,Module 13 Quiz: Big Data and NoSQL,Database Management Systems,Due at 8:59 PM PDT,N/A,N/A
Apr 22,Live Event,TA Office Hours,Human-Centered Artificial Intelligence,N/A,1h,8:00 AM PDT
Apr 22,Live Event,Professor Taylor Office Hours for CPSC 6620,Database Management Systems,N/A,1h,8:00 AM PDT
Apr 22,Graded Assignment,Module 14 Application,Database Management Systems,Due at 8:59 PM PDT,0.32% Weight,N/A
Apr 23,Live Event,TA Office Hours for CPSC 6620,Database Management Systems,N/A,1h,9:00 AM PDT
Apr 23,App Item,Project Part 3: Java Implementation,Database Management Systems,Due at 8:59 PM PDT,11.1% Weight,N/A
Apr 23,Graded Assignment,Module 14 Quiz: BI and Data Warehouses,Database Management Systems,Due at 8:59 PM PDT,N/A,N/A
Apr 24,Live Event,TA Office Hours,Human-Centered Artificial Intelligence,N/A,1h,8:00 AM PDT
Apr 24,Live Event,Professor Taylor Office Hours for CPSC 6620,Database Management Systems,N/A,1h,8:00 AM PDT
Apr 25,Graded Assignment,Module 15 Application,Database Management Systems,Due at 8:59 PM PDT,0.32% Weight,N/A
Apr 25,App Item,Graduate Neo4j Project Assignment,Database Management Systems,Due at 8:59 PM PDT,2.7% Weight,N/A
Apr 27,Graded Assignment,Project Assignment Report #10,Human-Centered Artificial Intelligence,Due at 8:59 PM PDT,2.99% Weight,N/A
Apr 28,Live Event,TA Office Hours for CPSC 6620,Database Management Systems,N/A,1h,9:00 AM PDT
Apr 29,Live Event,N/A,Human-Centered Artificial Intelligence,N/A,N/A,8:00 AM PDT
Apr 29,Live Event,Professor Taylor Office Hours for CPSC 6620,Database Management Systems,N/A,1h,8:00 AM PDT
Apr 30,Live Event,Office Hours Instructor,Human-Centered Artificial Intelligence,N/A,1h,8:00 AM PDT
Apr 30,Live Event,TA Office Hours for CPSC 6620,Database Management Systems,N/A,1h,9:00 AM PDT
May 1,Live Event,TA Office Hours,Human-Centered Artificial Intelligence,N/A,1h,8:00 AM PDT
May 1,Live Event,Professor Taylor Office Hours for CPSC 6620,Database Management Systems,N/A,1h,8:00 AM PDT
May 1,Graded Assignment,CPSC 6620 Final Exam,Database Management Systems,Due at 4:30 PM PDT,15% Weight,N/A
May 2,Graded Assignment,Final Project Presentation,Human-Centered Artificial Intelligence,Due at 8:59 PM PDT,2% Weight,N/A
May 2,Graded Assignment,Final Project Report,Human-Centered Artificial Intelligence,Due at 8:59 PM PDT,18% Weight,N/A
